ID,SIGHTING_DATE,CITY_STATE,COUNTRY_CODE,SHAPE,DURATION,DATE_POSTED
1390,10/07/2010,louth (uk/england),gb,cylinder,300,19/07/2010
1391,11/07/2003,ramsgate (uk/england),gb,unknown,3600,08/11/2003
1392,11/07/2004,gosport (uk/england),gb,disk,180,25/07/2004
1393,11/07/2004,sunderland (uk/england),gb,egg,240,25/07/2004
1394,11/07/2005,ayr (uk/scotland),gb,other,30,13/07/2005
1395,11/07/2008,cardiff (uk/wales),gb,changing,49,12/08/2008
1396,11/07/2008,manchester (salford) (uk/england),gb,cylinder,5,10/01/2009
1397,11/07/2009,doncaster (uk/england),gb,oval,60,19/07/2010
1398,11/07/2010,london (uk/england),gb,changing,120,19/07/2010
1399,11/07/2010,rotherham (uk/england),gb,flash,6,21/11/2010
1400,11/07/2010,london (uk/england),gb,circle,180,19/07/2010
1407,12/07/2002,liverpool (uk/england),gb,sphere,60,26/07/2002
1408,12/07/2003,london (uk/england),gb,sphere,1500,23/06/2004
1409,12/07/2003,greenlaw (uk/england),gb,,300,16/07/2003
1410,12/07/2004,bridgend (uk/england),gb,triangle,1500,25/07/2004
1411,12/07/2008,marlow (uk/england),gb,circle,600,12/08/2008
1412,12/07/2008,dover (uk/england),gb,light,300,10/01/2009
1413,12/07/2009,london (uk/england),gb,cylinder,10,05/08/2009
1414,12/07/2010,lichfield (uk/england),gb,circle,300,19/07/2010
1415,13/07/1997,hull (uk/england),gb,sphere,300,28/01/1999
1416,13/07/1997,telford (uk/england),gb,oval,1200,11/01/2002
1417,13/07/2004,hartlepool (uk/england),gb,disk,30,10/01/2009
1418,13/07/2005,leeds (uk/england),gb,teardrop,900,14/02/2008
1419,13/07/2006,camborne (uk/england),gb,light,720,16/07/2006
1420,13/07/2007,durham (uk/england),gb,cylinder,240,08/10/2007
1421,13/07/2009,london (uk/england),gb,,20,05/08/2009
1422,13/07/2009,derbyshire (uk/england),gb,cigar,600,05/08/2009
1283,14/07/1979,motherwell (uk/scotland),gb,light,180,04/05/2004
1284,14/07/2003,london (uk/england),gb,chevron,30,16/07/2003
1285,14/07/2004,portsmouth (uk/england),gb,diamond,14,02/09/2005
1286,14/07/2007,baldock (uk/england),gb,flash,600,07/08/2007
1287,14/07/2008,brighton (uk/england),gb,triangle,1200,12/08/2008
1288,14/07/2008,potters bar (uk/england),gb,oval,300,12/08/2008
1289,15/07/1970,lincoln (near) (uk/england),gb,disk,21600,28/08/2002
1290,15/07/1976,london (uk/england),gb,light,20,01/02/2007
1291,15/07/1977,glasgow (uk/scotland),gb,circle,30,17/12/2011
1292,15/07/1985,birmingham (uk/england),gb,fireball,3600,30/08/2013
1293,15/07/1996,cumbria (uk/england),gb,unknown,60,07/12/2006
1294,15/07/1998,london (uk/england),gb,other,40,19/08/2000
1295,15/07/2000,bath (uk/england),gb,fireball,360,23/07/2000
1296,15/07/2001,bournemouth (uk/england),gb,cross,90,12/08/2001
1297,15/07/2001,gloucester (uk/england),gb,oval,15,05/08/2001
1298,15/07/2001,coventry (uk/england),gb,light,60,14/05/2002
1299,15/07/2001,ashford (uk/england),gb,rectangle,60,22/04/2003
1300,15/07/2001,sheffield (uk/england),gb,disk,30,08/10/2007
1301,15/07/2002,worthing (uk/england),gb,light,180,26/07/2002
1302,15/07/2002,hastings (uk/england),gb,light,5,02/11/2004
1303,15/07/2005,chippenham (uk/england),gb,circle,7200,02/09/2005
1304,15/07/2006,sunderland (uk/england),gb,light,20,16/07/2006
1305,15/07/2008,county durham (uk/england),gb,circle,60,12/08/2008
1306,15/07/2012,corby (uk/england),gb,oval,300,05/08/2012
1307,16/07/1975,manchester (uk/england),gb,cigar,180,01/02/2007
1308,16/07/2002,lemington (uk/england),gb,other,600,26/07/2002
1309,16/07/2003,london (uk/england),gb,unknown,60,23/07/2003
1310,16/07/2003,barnoldswick (uk/england),gb,,60,28/08/2003
1311,16/07/2004,stockport (uk/england),gb,changing,120,25/07/2004
1312,16/07/2006,coventry (uk/england),gb,changing,60,30/10/2006
1313,16/07/2006,coventry (uk/england),gb,changing,300,16/07/2006
1314,16/07/2006,london (uk/england),gb,circle,5,30/10/2006
1315,16/07/2006,london (uk/england),gb,light,2,30/10/2006
1316,16/07/2009,wrexham (uk/wales),gb,light,300,05/08/2009
1317,16/07/2013,upminster (uk/england),gb,light,1800,30/08/2013
1318,17/07/1997,leeds (uk/england),gb,sphere,180,23/12/2002
1319,17/07/1998,scunthorpe (uk/england),gb,unknown,10,02/12/2000
1320,17/07/2002,liverpool (uk/england),gb,cylinder,600,04/03/2003
1321,17/07/2006,sunderland (uk/england),gb,light,25,30/10/2006
1322,18/07/1997,wolverhampton (uk/england),gb,diamond,30,14/02/2010
1323,18/07/1998,ramsgate (kent) (uk/england),gb,light,60,18/04/2012
1324,18/07/1999,manchester (uk/england),gb,light,180,10/08/1999
